拌距辆喊 傈仿荤侩樊 岿喊( 20220804 泅犁 ),,,,,,,
"矫档 : 堡林堡开矫, 矫焙备 : 傈眉(矫 / 焙 / 备)",,,,,,,
扁埃 : 2015斥 01 岿 ~ 2015斥 06岿,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
201501,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"370,402 ","175,145,917 ","23,178,031,050 ",132.3 
201501,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"86,052 ","265,938,364 ","34,868,324,386 ",131.1 
201501,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,596 ,"29,384,011 ","3,224,663,947 ",109.7 
201501,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,745 ","266,092,703 ","32,855,227,216 ",123.5 
201501,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"9,847 ","10,822,393 ","495,003,008 ",45.7 
201501,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"37,841 ","7,380,279 ","797,431,532 ",108.0 
201501,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"8,007 ","21,903,359 ","1,630,254,364 ",74.4 
201502,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"371,071 ","173,828,188 ","22,726,148,792 ",130.7 
201502,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"86,191 ","256,836,550 ","33,927,776,882 ",132.1 
201502,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,603 ,"24,765,075 ","2,823,126,693 ",114.0 
201502,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,754 ","246,602,545 ","30,702,863,245 ",124.5 
201502,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"9,848 ","10,901,343 ","498,774,532 ",45.8 
201502,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"38,047 ","6,957,610 ","784,951,104 ",112.8 
201502,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,977 ","21,332,091 ","1,582,176,172 ",74.2 
201503,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"371,553 ","153,518,818 ","17,954,930,114 ",117.0 
201503,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"86,297 ","220,526,705 ","27,242,283,663 ",123.5 
201503,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,607 ,"26,985,887 ","2,682,967,442 ",99.4 
201503,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,761 ","253,248,001 ","26,515,731,798 ",104.7 
201503,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"14,165 ","8,468,547 ","400,736,204 ",47.3 
201503,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"38,093 ","6,217,637 ","738,233,903 ",118.7 
201503,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,957 ","18,014,508 ","1,181,428,865 ",65.6 
201504,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"372,123 ","160,238,799 ","19,199,085,628 ",119.8 
201504,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"86,549 ","212,966,717 ","24,018,323,527 ",112.8 
201504,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,608 ,"23,209,300 ","2,225,643,396 ",95.9 
201504,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,778 ","259,819,838 ","26,067,172,597 ",100.3 
201504,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"9,952 ","6,263,927 ","310,609,154 ",49.6 
201504,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"38,143 ","6,098,922 ","707,544,726 ",116.0 
201504,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,928 ","14,086,950 ","779,528,417 ",55.3 
201505,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"372,794 ","148,730,802 ","16,791,331,746 ",112.9 
201505,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"86,579 ","197,611,349 ","22,820,222,180 ",115.5 
201505,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,609 ,"18,337,787 ","1,931,888,485 ",105.4 
201505,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,786 ","246,043,304 ","24,616,776,144 ",100.1 
201505,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"9,997 ","4,017,416 ","218,805,106 ",54.5 
201505,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"38,253 ","5,545,737 ","686,056,505 ",123.7 
201505,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,897 ","8,115,479 ","462,873,766 ",57.0 
201506,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"373,281 ","149,157,650 ","16,911,870,991 ",113.4 
201506,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"86,567 ","213,461,224 ","27,972,390,694 ",131.0 
201506,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,608 ,"19,850,750 ","2,425,842,915 ",122.2 
201506,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,806 ","248,297,242 ","32,533,535,816 ",131.0 
201506,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"9,985 ","4,262,786 ","215,895,899 ",50.6 
201506,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"38,375 ","5,270,417 ","674,533,757 ",128.0 
201506,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,871 ","4,895,354 ","294,871,125 ",60.2 
钦拌,钦拌,钦拌,钦拌,"3,127,903","4,161,152,281","488,675,867,486",117.4
,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
201501,堡林堡开矫,堡魂备,啊肺殿,"5,533 ","2,434,636 ","265,574,782 ",109.1 
201501,堡林堡开矫,堡魂备,背腊侩,153 ,"6,068,163 ","698,426,551 ",115.1 
201501,堡林堡开矫,堡魂备,丑荤侩,"5,037 ","6,481,633 ","293,452,201 ",45.3 
201501,堡林堡开矫,堡魂备,魂诀侩,"2,662 ","172,294,262 ","21,540,966,440 ",125 
201501,堡林堡开矫,堡魂备,缴 具,"1,750 ","5,286,097 ","388,206,905 ",73.4 
201501,堡林堡开矫,堡魂备,老馆侩,"19,693 ","63,011,951 ","8,213,483,238 ",130.3 
201501,堡林堡开矫,堡魂备,林琶侩,"75,155 ","46,177,580 ","5,918,410,602 ",128.2 
201501,堡林堡开矫,堡魂备,钦拌,"109,983 ","301,754,322 ","37,318,520,719 ",123.7 
201501,堡林堡开矫,巢备,啊肺殿,"7,842 ","1,135,798 ","119,460,561 ",105.2 
201501,堡林堡开矫,巢备,背腊侩,97 ,"3,488,475 ","402,851,126 ",115.5 
201501,堡林堡开矫,巢备,丑荤侩,"2,119 ","1,260,063 ","60,878,244 ",48.3 
201501,堡林堡开矫,巢备,魂诀侩,473 ,"2,706,918 ","381,119,424 ",140.8 
201501,堡林堡开矫,巢备,缴 具,"1,462 ","3,779,064 ","272,839,112 ",72.2 
201501,堡林堡开矫,巢备,老馆侩,"10,474 ","27,193,650 ","3,594,907,423 ",132.2 
201501,堡林堡开矫,巢备,林琶侩,"55,798 ","26,568,020 ","3,659,087,727 ",137.7 
201501,堡林堡开矫,巢备,钦拌,"78,265 ","66,131,988 ","8,491,143,617 ",128.4 
201501,堡林堡开矫,悼备,啊肺殿,"5,437 ","816,708 ","82,028,462 ",100.4 
201501,堡林堡开矫,悼备,背腊侩,46 ,"4,333,621 ","442,255,646 ",102.1 
201501,堡林堡开矫,悼备,丑荤侩,224 ,"89,602 ","4,365,435 ",48.7 
201501,堡林堡开矫,悼备,魂诀侩,418 ,"2,784,827 ","340,179,938 ",122.2 
201501,堡林堡开矫,悼备,缴 具,"1,447 ","3,080,255 ","232,219,980 ",75.4 
201501,堡林堡开矫,悼备,老馆侩,"11,778 ","35,955,819 ","4,759,973,485 ",132.4 
201501,堡林堡开矫,悼备,林琶侩,"44,306 ","12,149,159 ","1,702,426,606 ",140.1 
201501,堡林堡开矫,悼备,钦拌,"63,656 ","59,209,991 ","7,563,449,552 ",127.7 
201501,堡林堡开矫,合备,啊肺殿,"11,403 ","1,554,208 ","173,304,877 ",111.5 
201501,堡林堡开矫,合备,背腊侩,197 ,"13,046,404 ","1,390,780,230 ",106.6 
201501,堡林堡开矫,合备,丑荤侩,"1,573 ","2,412,206 ","107,678,649 ",44.6 
201501,堡林堡开矫,合备,魂诀侩,"1,515 ","60,563,813 ","7,213,438,673 ",119.1 
201501,堡林堡开矫,合备,缴 具,"2,208 ","6,044,016 ","454,010,417 ",75.1 
201501,堡林堡开矫,合备,老馆侩,"26,235 ","67,098,023 ","8,803,290,215 ",131.2 
201501,堡林堡开矫,合备,林琶侩,"121,777 ","52,513,267 ","6,853,637,561 ",130.5 
201501,堡林堡开矫,合备,钦拌,"164,908 ","203,231,937 ","24,996,140,622 ",123 
201501,堡林堡开矫,辑备,啊肺殿,"7,626 ","1,438,929 ","157,062,850 ",109.2 
201501,堡林堡开矫,辑备,背腊侩,103 ,"2,447,348 ","290,350,394 ",118.6 
201501,堡林堡开矫,辑备,丑荤侩,894 ,"578,889 ","28,628,479 ",49.5 
201501,堡林堡开矫,辑备,魂诀侩,677 ,"27,742,883 ","3,379,522,741 ",121.8 
201501,堡林堡开矫,辑备,缴 具,"1,140 ","3,713,927 ","282,977,950 ",76.2 
201501,堡林堡开矫,辑备,老馆侩,"17,872 ","72,678,921 ","9,496,670,025 ",130.7 
201501,堡林堡开矫,辑备,林琶侩,"73,366 ","37,737,891 ","5,044,468,554 ",133.7 
201501,堡林堡开矫,辑备,钦拌,"101,678 ","146,338,788 ","18,679,680,993 ",127.6 
201502,堡林堡开矫,堡魂备,啊肺殿,"5,649 ","2,305,303 ","261,402,691 ",113.4 
201502,堡林堡开矫,堡魂备,背腊侩,154 ,"5,480,566 ","652,429,140 ",119 
201502,堡林堡开矫,堡魂备,丑荤侩,"5,037 ","6,411,058 ","290,483,088 ",45.3 
201502,堡林堡开矫,堡魂备,魂诀侩,"2,665 ","161,206,706 ","20,344,475,001 ",126.2 
201502,堡林堡开矫,堡魂备,缴 具,"1,745 ","5,115,175 ","374,437,881 ",73.2 
201502,堡林堡开矫,堡魂备,老馆侩,"19,773 ","61,406,311 ","8,063,838,835 ",131.3 
201502,堡林堡开矫,堡魂备,林琶侩,"75,426 ","46,071,412 ","5,831,761,555 ",126.6 
201502,堡林堡开矫,堡魂备,钦拌,"110,449 ","287,996,531 ","35,818,828,191 ",124.4 
201502,堡林堡开矫,巢备,啊肺殿,"7,852 ","1,088,947 ","119,838,783 ",110.1 
201502,堡林堡开矫,巢备,背腊侩,99 ,"3,263,425 ","387,919,023 ",118.9 
201502,堡林堡开矫,巢备,丑荤侩,"2,121 ","1,332,367 ","64,106,726 ",48.1 
201502,堡林堡开矫,巢备,魂诀侩,471 ,"2,692,818 ","379,441,615 ",140.9 
201502,堡林堡开矫,巢备,缴 具,"1,459 ","3,674,450 ","264,592,286 ",72 
201502,堡林堡开矫,巢备,老馆侩,"10,467 ","26,336,706 ","3,506,682,572 ",133.1 
201502,堡林堡开矫,巢备,林琶侩,"55,842 ","26,426,189 ","3,615,124,565 ",136.8 
201502,堡林堡开矫,巢备,钦拌,"78,311 ","64,814,902 ","8,337,705,570 ",128.6 
201502,堡林堡开矫,悼备,啊肺殿,"5,435 ","769,252 ","80,718,362 ",104.9 
201502,堡林堡开矫,悼备,背腊侩,46 ,"3,810,393 ","402,849,455 ",105.7 
201502,堡林堡开矫,悼备,丑荤侩,225 ,"92,216 ","4,500,069 ",48.8 
201502,堡林堡开矫,悼备,魂诀侩,417 ,"2,642,168 ","321,870,669 ",121.8 
201502,堡林堡开矫,悼备,缴 具,"1,434 ","3,019,415 ","227,491,918 ",75.3 
201502,堡林堡开矫,悼备,老馆侩,"11,810 ","34,036,644 ","4,544,147,647 ",133.5 
201502,堡林堡开矫,悼备,林琶侩,"44,508 ","11,898,739 ","1,645,837,413 ",138.3 
201502,堡林堡开矫,悼备,钦拌,"63,875 ","56,268,827 ","7,227,415,533 ",128.4 
201502,堡林堡开矫,合备,啊肺殿,"11,494 ","1,440,381 ","168,989,424 ",117.3 
201502,堡林堡开矫,合备,背腊侩,198 ,"10,010,551 ","1,108,235,591 ",110.7 
201502,堡林堡开矫,合备,丑荤侩,"1,574 ","2,472,525 ","110,385,565 ",44.6 
201502,堡林堡开矫,合备,魂诀侩,"1,517 ","55,567,801 ","6,654,461,275 ",119.8 
201502,堡林堡开矫,合备,缴 具,"2,203 ","5,822,125 ","433,721,543 ",74.5 
201502,堡林堡开矫,合备,老馆侩,"26,238 ","64,948,669 ","8,584,868,961 ",132.2 
201502,堡林堡开矫,合备,林琶侩,"121,878 ","52,019,272 ","6,705,085,835 ",128.9 
201502,堡林堡开矫,合备,钦拌,"165,102 ","192,281,324 ","23,765,748,194 ",123.6 
201502,堡林堡开矫,辑备,啊肺殿,"7,617 ","1,353,727 ","154,001,844 ",113.8 
201502,堡林堡开矫,辑备,背腊侩,106 ,"2,200,140 ","271,693,484 ",123.5 
201502,堡林堡开矫,辑备,丑荤侩,891 ,"593,177 ","29,299,084 ",49.4 
201502,堡林堡开矫,辑备,魂诀侩,684 ,"24,493,052 ","3,002,614,685 ",122.6 
201502,堡林堡开矫,辑备,缴 具,"1,136 ","3,700,926 ","281,932,544 ",76.2 
201502,堡林堡开矫,辑备,老馆侩,"17,903 ","70,108,220 ","9,228,238,867 ",131.6 
201502,堡林堡开矫,辑备,林琶侩,"73,417 ","37,412,576 ","4,928,339,424 ",131.7 
201502,堡林堡开矫,辑备,钦拌,"101,754 ","139,861,818 ","17,896,119,932 ",128 
201503,堡林堡开矫,堡魂备,啊肺殿,"5,684 ","2,044,577 ","238,005,759 ",116.4 
201503,堡林堡开矫,堡魂备,背腊侩,155 ,"5,188,042 ","564,155,671 ",108.7 
201503,堡林堡开矫,堡魂备,丑荤侩,"6,969 ","4,956,255 ","231,985,000 ",46.8 
201503,堡林堡开矫,堡魂备,魂诀侩,"2,666 ","164,351,292 ","17,505,071,352 ",106.5 
201503,堡林堡开矫,堡魂备,缴 具,"1,742 ","4,408,109 ","290,471,770 ",65.9 
201503,堡林堡开矫,堡魂备,老馆侩,"19,818 ","52,605,976 ","6,527,964,072 ",124.1 
201503,堡林堡开矫,堡魂备,林琶侩,"75,615 ","40,554,386 ","4,618,537,567 ",113.9 
201503,堡林堡开矫,堡魂备,钦拌,"112,649 ","274,108,637 ","29,976,191,191 ",109.4 
201503,堡林堡开矫,巢备,啊肺殿,"7,856 ","959,067 ","108,216,217 ",112.8 
201503,堡林堡开矫,巢备,背腊侩,100 ,"3,073,321 ","329,316,336 ",107.2 
201503,堡林堡开矫,巢备,丑荤侩,"3,289 ","1,115,714 ","55,097,653 ",49.4 
